City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
118,udachny,66.4167,112.4,270.82,92,76,2.22,RU,1684164616
119,vilyuchinsk,52.9306,158.4028,279.3,85,58,1.65,RU,1684164616
120,souillac,-20.5167,57.5167,298.36,83,40,1.03,MU,1684164616
121,las heras,-46.5419,-68.9359,290.23,44,66,9.53,AR,1684164616
122,fortuna,40.5982,-124.1573,287.0,93,100,0.0,US,1684164616
123,ust-nera,64.5667,143.2,271.55,96,99,1.82,RU,1684164617
124,gamboma,-1.8764,15.8644,304.24,58,62,0.21,CG,1684164617
125,namalenga,-10.95,39.1,296.96,76,88,2.4,TZ,1684164617
126,cururupu,-1.8283,-44.8683,303.12,71,14,3.24,BR,1684164617
127,victorica,-36.2151,-65.4359,299.12,34,36,4.64,AR,1684164618
128,ketchikan,55.3422,-131.6461,287.41,77,0,6.69,US,1684164618
129,illizi,26.4833,8.4667,301.04,10,0,7.75,DZ,1684164568
130,tazovsky,67.4667,78.7,272.36,97,99,5.17,RU,1684164392
